price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,yr_built,yr_renovated,zipcode,year,month
505000.0,3,1.75,2519,8690,2.0,0,0,5,1973,0,98166,2014,10
549000.0,3,1.75,1540,1044,3.0,0,0,3,2014,0,98115,2014,12
425000.0,3,2.25,1660,6000,1.0,0,0,3,1979,0,98122,2014,06
317625.0,3,2.75,2770,3809,1.5,0,0,5,1925,0,98144,2014,11
975000.0,4,2.5,2720,11049,2.0,0,0,3,1989,0,98004,2014,09
287000.0,4,2.5,2240,4648,2.0,0,0,3,2005,0,98001,2014,10
204000.0,3,1.0,1000,12070,1.0,0,0,4,1968,0,98042,2014,08
1325000.0,5,2.25,3200,20158,1.0,0,0,3,1965,0,98004,2014,06
1040000.0,5,3.25,4770,50094,1.0,0,0,4,1973,0,98005,2014,09
325000.0,3,2.0,1260,5612,1.0,0,0,4,1972,0,98034,2015,01
571000.0,4,2.0,2750,7807,1.5,0,0,5,1916,0,98125,2014,06
360000.0,4,2.5,2380,5000,2.0,0,0,3,2005,0,98038,2014,07
349000.0,3,1.75,1790,50529,1.0,0,0,5,1965,0,98042,2015,03
832500.0,4,4.0,3430,35102,2.0,0,0,4,1986,0,98075,2014,11
380000.0,4,1.75,1760,7300,1.0,0,0,3,1956,0,98008,2014,10
480000.0,3,1.0,1040,5060,1.0,0,0,3,1941,0,98116,2015,04
410000.0,3,1.0,1410,5060,1.0,0,0,4,1956,0,98133,2014,06
720000.0,4,2.5,3450,39683,2.0,0,0,3,2002,0,98010,2015,03
390000.0,3,2.5,2350,5100,2.0,0,0,3,2003,0,98038,2014,12
360000.0,4,2.5,1900,5889,2.0,0,0,3,1992,0,98038,2014,12
355000.0,2,1.0,2020,6720,1.0,0,0,3,1948,0,98118,2014,10
356000.0,3,1.5,1680,8712,1.0,0,0,3,1964,0,98059,2015,01
315000.0,3,1.0,960,6634,1.0,0,0,3,1952,0,98125,2014,06
940000.0,3,1.5,2140,3600,2.0,0,0,3,1925,0,98119,2014,11
305000.0,5,2.25,2660,8400,1.5,0,0,5,1961,0,98092,2014,11
461000.0,3,3.25,2770,6278,2.0,0,0,3,2006,0,98056,2014,06
215000.0,2,2.25,1610,2040,2.0,0,0,4,1979,0,98056,2014,05
335000.0,2,1.75,1030,1066,2.0,0,0,3,2006,0,98136,2014,09
243500.0,4,2.5,1980,7403,2.0,0,0,3,1988,0,98023,2014,05
1099880.0,5,2.75,3520,6353,2.0,0,0,4,2001,0,98199,2015,03
153000.0,3,1.0,1200,10500,1.0,0,0,3,1962,0,98023,2015,02
430000.0,3,1.5,1580,5000,1.0,0,0,3,1939,0,98117,2014,07
700000.0,3,1.5,1580,5000,1.0,0,0,3,1939,0,98117,2014,12
905000.0,4,2.5,3300,10250,1.0,0,0,3,1946,1,98040,2014,09
247500.0,3,1.75,1960,15681,1.0,0,0,3,1967,0,98032,2015,03
199000.0,4,1.5,1160,6400,1.0,0,0,4,1975,0,98023,2014,09
314000.0,3,1.75,1810,41800,1.0,0,0,5,1980,0,98038,2014,07
437500.0,3,2.5,2320,36847,2.0,0,2,3,1992,0,98045,2014,05
850830.0,3,2.5,2070,13241,1.5,0,0,5,1910,0,98102,2014,06
555000.0,3,2.0,1980,3478,1.5,0,0,4,1929,0,98117,2014,10
699950.0,3,2.25,2190,107593,2.0,0,0,4,1983,0,98077,2014,12
1088000.0,3,2.5,2920,8113,2.0,0,0,3,1950,1,98004,2014,10
290000.0,3,1.0,1210,33919,1.0,0,0,3,1954,0,98058,2014,09
375000.0,3,2.5,2340,10005,1.0,0,0,4,1978,0,98058,2015,04
460000.0,3,1.0,1670,4005,1.5,0,0,4,1939,0,98117,2014,05
188500.0,2,1.75,1240,2493,1.0,0,0,4,1985,0,98198,2014,07
680000.0,4,2.5,3140,28037,2.0,0,0,4,1991,0,98077,2015,03
470000.0,5,1.75,2030,12342,2.0,0,0,4,1942,0,98052,2014,08
597750.0,4,2.5,2310,9624,2.0,0,0,3,1984,0,98027,2014,07
570000.0,3,1.75,1260,3328,1.0,0,0,5,1905,0,98103,2015,03
272500.0,3,1.75,1540,12600,1.0,0,0,4,1980,0,98038,2014,09
329950.0,3,1.75,2080,5969,1.0,0,2,3,1971,0,98108,2014,11
480000.0,4,2.5,3230,16171,2.0,0,3,3,2001,0,98001,2014,10
740500.0,3,3.5,4380,6350,2.0,0,0,3,1900,1,98117,2014,11
518500.0,3,3.5,1590,1102,3.0,0,0,3,2010,0,98103,2014,06
205425.0,2,1.0,880,6780,1.0,0,0,4,1945,0,98178,2014,06
171800.0,4,2.0,1570,9600,1.0,0,0,3,1950,0,98168,2015,01
535000.0,4,1.0,1610,2982,1.5,0,0,4,1925,0,98144,2015,05
660000.0,3,2.5,2400,6474,1.0,0,2,3,1964,0,98177,2015,01
391500.0,3,2.0,1450,9132,1.0,0,0,3,1987,0,98034,2014,11
395000.0,2,1.0,770,6000,1.0,0,0,3,1953,0,98117,2015,04
445000.0,4,1.75,2100,4400,1.5,0,0,5,1924,0,98118,2014,11
770000.0,3,2.25,2910,10204,2.0,0,0,3,1990,0,98052,2014,06
1450000.0,4,2.75,2750,17789,1.5,0,0,3,1914,1,98004,2015,03
445000.0,3,2.25,2100,8201,1.0,0,2,3,1967,0,98178,2014,07
260000.0,4,2.25,2160,8811,1.0,0,0,3,1978,0,98023,2014,07
822500.0,5,3.5,2320,4960,2.0,0,0,5,1926,0,98103,2014,06
430000.0,4,2.5,2070,4310,2.0,0,0,3,2004,0,98065,2015,04
212000.0,3,1.75,1060,7875,1.0,0,0,4,1986,0,98092,2015,01
660500.0,4,2.25,2010,9603,1.0,0,0,3,1986,0,98027,2015,04
784000.0,3,3.5,3950,111078,1.5,0,0,3,1989,0,98052,2014,06
453246.0,3,2.5,2010,2287,2.0,0,0,3,2014,0,98029,2014,05
675000.0,4,3.5,2140,2278,3.0,0,0,3,2005,0,98107,2015,01
199000.0,3,1.75,1320,17390,1.0,0,0,4,1956,0,98003,2014,08
220000.0,4,1.75,2020,7840,1.0,0,0,3,1968,0,98003,2014,08
452000.0,4,2.25,2590,10002,1.0,0,0,4,1968,0,98028,2014,05
382500.0,2,1.0,1190,4440,1.0,0,0,3,1981,0,98125,2014,07
519950.0,3,2.25,1170,1249,3.0,0,0,3,2014,0,98107,2014,05
665000.0,2,1.0,1110,3200,1.0,0,0,3,1925,0,98119,2014,06
527700.0,5,2.5,2820,9375,1.0,0,0,4,1968,0,98006,2014,07
205000.0,3,1.0,1610,8579,1.0,0,0,4,1962,0,98058,2015,05
420000.0,3,1.0,1060,8097,1.0,0,0,4,1923,0,98133,2015,04
500000.0,4,2.25,2030,8517,1.0,0,0,4,1961,0,98006,2015,02
921500.0,4,2.5,3670,315374,2.0,0,0,4,1994,0,98077,2014,12
890000.0,4,1.0,2550,4000,2.0,0,0,3,1905,0,98109,2014,06
430000.0,2,2.5,2420,60984,2.0,0,0,3,2007,0,98027,2014,08
258000.0,5,2.0,2260,12500,1.0,0,0,4,1960,0,98032,2014,10
511000.0,3,1.0,1430,3455,1.0,0,0,3,1947,0,98103,2014,11
532170.0,3,2.0,1360,3090,2.0,0,0,3,1990,0,98103,2014,08
560000.0,3,1.0,1110,5000,1.5,0,0,3,1947,0,98107,2015,04
282950.0,3,1.0,1250,8200,1.0,0,0,4,1954,0,98003,2015,03
2250000.0,4,3.25,5180,19850,2.0,0,3,3,2006,0,98006,2015,04
350000.0,1,1.0,700,5100,1.0,0,0,3,1942,0,98115,2014,05
215000.0,3,1.0,1180,7669,1.0,0,0,4,1967,0,98058,2014,07
650000.0,5,3.5,3960,25245,2.0,0,0,3,1996,0,98056,2014,11
320000.0,4,2.75,2640,7500,1.0,0,0,3,1967,0,98023,2014,08
247000.0,3,2.0,1270,7198,1.5,0,0,3,1916,1,98022,2014,11
320000.0,4,1.75,1760,11180,1.0,0,0,4,1968,0,98059,2014,10
255000.0,5,2.25,2060,8632,1.0,0,0,3,1962,0,98146,2014,05
438000.0,3,1.75,1780,9660,1.0,0,0,3,1962,0,98034,2015,03
900000.0,3,2.5,3400,16603,2.0,0,0,3,2000,0,98075,2015,03
441000.0,3,2.75,1910,7280,1.0,0,0,3,1979,0,98034,2014,06
420000.0,3,2.0,2020,38332,1.0,0,0,4,1975,0,98027,2014,08
370000.0,3,1.75,1580,7000,1.0,0,0,3,1976,0,98034,2014,12
269950.0,2,1.75,1340,7250,1.0,0,0,5,1949,0,98198,2015,02
807100.0,4,2.5,2680,4499,2.0,0,0,3,1999,0,98006,2015,03
653000.0,3,2.5,2680,9750,1.0,0,0,4,1979,0,98034,2014,06
371500.0,3,2.0,1370,8336,1.0,0,0,5,1964,0,98133,2014,06
284000.0,3,1.75,1560,21000,1.0,0,0,3,1954,0,98166,2015,03
272000.0,3,1.75,2160,7140,1.0,0,0,4,1978,0,98023,2015,01
313000.0,3,1.5,1340,7912,1.5,0,0,3,1955,0,98133,2014,05
917500.0,4,2.5,3880,35003,2.0,0,0,3,1984,0,98033,2015,01
673000.0,4,2.25,2590,8190,2.0,0,0,4,1980,0,98006,2014,09
425000.0,3,2.5,1120,1100,2.0,0,0,3,2008,0,98122,2015,02
399950.0,5,2.75,1970,5400,1.0,0,0,3,1986,0,98144,2014,07
385000.0,3,1.0,1220,4800,1.0,0,0,3,1901,0,98122,2014,05
269950.0,3,1.5,1950,7560,1.0,0,2,4,1975,0,98022,2014,11
330000.0,2,1.0,1350,8220,1.0,0,0,3,1949,0,98177,2015,01
260000.0,3,2.5,1670,5797,2.0,0,0,3,1988,0,98030,2014,07
470000.0,4,3.0,2380,5125,1.5,0,0,4,1925,0,98126,2015,04
589000.0,4,3.0,2440,9600,2.0,0,0,5,1961,0,98034,2014,06
163500.0,2,1.5,1050,3419,2.0,0,0,3,1996,0,98038,2014,07
835000.0,4,2.75,3130,13412,2.0,0,0,3,1993,0,98052,2014,09
1095000.0,5,3.0,4090,12850,1.0,0,2,4,1986,0,98033,2014,11
269000.0,4,1.75,1490,10000,1.0,0,0,4,1969,0,98023,2015,04
560000.0,3,2.5,1900,8744,2.0,0,0,3,1987,0,98074,2014,05
615000.0,4,1.0,1330,2400,1.5,0,0,4,1901,0,98103,2015,04
585188.0,3,2.25,2230,10026,1.0,0,0,3,1975,0,98052,2014,12
305000.0,3,1.75,1650,9480,1.0,0,0,3,1977,0,98034,2014,08
166950.0,3,1.0,1190,8820,1.0,0,0,3,1959,0,98058,2014,11
799000.0,3,2.5,2140,9897,1.0,0,0,4,1959,0,98040,2014,09
400000.0,3,2.5,2180,7508,1.0,0,0,4,1962,0,98133,2014,06
230000.0,3,1.0,1060,10228,1.0,0,0,3,1948,0,98155,2014,12
256883.0,3,2.5,1690,5025,2.0,0,0,3,2003,0,98023,2014,05
423000.0,4,2.0,1970,6480,1.5,0,0,5,1920,0,98108,2014,11
465000.0,3,2.5,2150,4084,2.0,0,0,3,2007,0,98126,2014,07
440000.0,3,2.5,1910,66211,2.0,0,0,3,1997,0,98024,2015,01
385000.0,3,1.75,1350,155073,1.0,0,0,4,1969,0,98038,2014,10
210000.0,3,1.0,860,11725,1.0,0,0,4,1943,0,98056,2015,03
297000.0,3,2.5,1940,14952,2.0,0,0,3,1994,0,98042,2014,11
470000.0,3,1.0,1010,5000,1.0,0,0,3,1952,0,98107,2014,07
226500.0,3,1.5,1300,7370,1.0,0,0,4,1976,0,98023,2014,08
274250.0,3,1.0,910,8450,1.0,0,0,4,1962,0,98059,2015,03
840000.0,4,1.75,2480,11010,1.0,0,0,4,1966,0,98040,2014,08
677900.0,3,2.5,2440,4587,2.0,0,0,3,2010,0,98052,2014,09
425000.0,3,1.0,1010,5864,1.0,0,0,3,1915,0,98116,2015,02
180250.0,2,0.75,900,9600,1.0,0,0,3,1941,0,98166,2014,11
464000.0,6,3.0,2300,3404,2.0,0,0,3,1920,1,98133,2014,07
320000.0,4,2.25,1550,7579,2.0,0,0,3,1993,0,98038,2015,04
625504.0,3,2.25,1270,1566,2.0,0,0,3,2014,0,98105,2014,07
592500.0,4,2.5,2240,12032,1.0,0,0,3,1983,0,98074,2014,05
465000.0,3,2.5,2714,17936,2.0,0,0,3,2005,0,98001,2015,01
477000.0,4,2.75,1720,6270,2.0,0,0,3,1978,0,98118,2014,05
280000.0,2,1.0,850,16400,1.0,0,0,3,1923,0,98168,2015,01
1505000.0,5,3.0,3300,33474,1.0,0,3,3,1957,1,98040,2015,02
445838.0,3,2.5,2250,5692,2.0,0,0,3,2000,0,98146,2014,07
1072000.0,2,2.25,3900,14864,1.0,0,3,3,1947,0,98144,2014,08
467000.0,2,1.5,1320,10800,1.0,0,0,4,1947,0,98177,2014,10
686000.0,4,2.5,2760,6440,2.0,0,0,3,1999,0,98075,2014,08
279950.0,3,2.0,1750,9750,1.0,0,0,3,1961,0,98198,2014,06
527000.0,4,2.25,2330,19436,2.0,0,0,3,1987,0,98011,2014,09
325000.0,3,2.25,2220,16020,1.0,0,0,4,1966,0,98030,2014,09
328000.0,3,2.25,2020,8379,2.0,0,0,3,1994,0,98038,2014,09
390000.0,3,2.25,1250,7500,1.0,0,0,5,1942,0,98146,2014,06
479950.0,2,2.0,1510,6516,1.0,0,0,3,2005,0,98053,2015,03
264950.0,4,2.25,1720,9753,1.0,0,0,4,1978,0,98023,2014,05
235000.0,3,1.0,1430,15246,1.0,0,0,4,1961,0,98031,2015,01
516500.0,3,2.5,1480,4729,2.0,0,0,3,2004,0,98053,2015,03
655000.0,2,1.75,1450,15798,2.0,1,4,3,1915,1,98166,2015,04
500000.0,4,2.75,2280,15347,1.0,0,0,5,1960,0,98059,2014,06
315000.0,6,2.75,2940,7350,1.0,0,0,3,1978,0,98023,2014,11
213000.0,2,1.0,1000,10200,1.0,0,0,3,1961,0,98024,2014,11
475000.0,3,1.5,2480,5280,1.5,0,0,5,1947,0,98108,2014,09
1025000.0,5,4.0,3760,28040,2.0,0,0,3,1983,0,98033,2014,06
416000.0,3,2.0,2220,94300,1.0,0,0,5,1976,0,98010,2015,04
410000.0,4,1.0,1970,4740,1.5,0,0,3,1904,1,98122,2015,03
800000.0,3,3.5,3830,221284,2.0,0,0,3,1993,0,98077,2014,07
472000.0,6,2.5,4410,14034,1.0,0,2,4,1965,0,98003,2014,05
225000.0,3,1.75,1430,8505,1.0,0,0,4,1968,0,98003,2014,12
210000.0,2,1.0,830,6000,1.0,0,0,3,1940,0,98126,2014,10
455000.0,2,1.0,1430,5000,1.5,0,0,2,1925,0,98115,2015,01
225000.0,3,1.0,1300,8316,1.0,0,0,4,1954,0,98002,2015,04
480000.0,2,1.0,1030,3060,1.0,0,2,4,1918,0,98103,2014,08
363000.0,3,2.5,2740,11872,2.0,0,0,3,1990,0,98023,2015,02
2400000.0,4,2.5,3650,8354,1.0,1,4,3,2000,0,98074,2014,09
181000.0,2,1.5,720,5120,1.0,0,0,3,1954,0,98106,2015,02
250000.0,4,2.0,2010,7312,1.0,0,0,4,1976,0,98002,2015,03
481000.0,3,1.75,1560,3000,1.0,0,0,4,1918,0,98103,2015,04
260000.0,3,2.0,1810,7209,1.0,0,0,4,1978,0,98032,2014,09
455000.0,4,2.5,3360,7685,2.0,0,0,3,2001,0,98058,2014,05
415000.0,3,2.25,1510,36224,2.0,0,0,3,1991,0,98045,2015,04
349500.0,3,1.0,1400,3538,1.0,0,0,3,1953,0,98118,2015,04
245000.0,3,2.5,1730,7442,2.0,0,0,3,1987,0,98030,2014,09
592500.0,2,2.0,1420,9191,1.5,0,2,5,1928,0,98115,2014,05
385000.0,4,1.75,2360,7620,1.0,0,0,4,1955,0,98106,2014,10
315000.0,3,1.75,1580,11455,1.0,0,0,4,1974,0,98059,2015,02
255000.0,3,1.0,1230,10170,1.0,0,0,3,1979,0,98045,2014,11
693000.0,4,2.5,2460,4425,2.0,0,0,3,2006,0,98052,2014,08
780000.0,3,1.0,1660,4400,1.5,0,0,3,1911,0,98112,2014,12
237000.0,3,1.75,1270,8470,1.0,0,0,4,1960,0,98198,2014,10
525000.0,3,2.25,2100,40510,2.0,0,0,3,1979,0,98074,2014,12
425000.0,2,1.0,770,5040,1.0,0,0,3,1930,0,98144,2015,04
369900.0,1,0.75,760,10079,1.0,1,4,5,1936,0,98070,2014,10
290000.0,4,2.5,1700,7280,2.0,0,0,4,1988,0,98031,2014,05
285000.0,3,1.0,1120,10701,1.0,0,0,3,1954,0,98106,2014,09
415000.0,2,1.0,1070,4500,1.0,0,0,3,1937,0,98115,2014,08
272500.0,3,2.5,2070,9900,1.0,0,0,3,1979,0,98023,2015,04
2900000.0,4,3.25,5050,20100,1.5,0,2,3,1982,1,98004,2015,05
1365000.0,4,4.75,5310,57346,2.0,0,0,4,1989,0,98077,2014,10
436000.0,2,1.0,1040,7538,1.0,0,0,4,1939,0,98133,2015,05
210000.0,3,1.0,1700,11390,1.0,0,0,4,1967,0,98003,2014,10
236000.0,3,1.0,1300,5898,1.0,0,0,3,1961,0,98178,2014,09
331000.0,3,1.75,1080,1306,1.0,0,0,3,1954,1,98199,2014,11
365000.0,3,2.5,2653,4510,2.0,0,0,3,2006,0,98031,2015,03
450000.0,3,2.0,2290,16258,1.0,0,0,5,1960,0,98058,2015,01
770000.0,4,2.75,3820,26300,2.0,0,0,3,2014,0,98028,2014,11
455000.0,4,2.5,2210,49375,1.0,0,0,3,1997,0,98038,2015,05
405000.0,3,1.75,2390,6000,1.0,0,0,3,1908,0,98118,2015,05
304900.0,4,1.75,2600,11325,1.0,0,0,4,1969,0,98031,2014,07
170000.0,2,1.0,860,5265,1.0,0,0,3,1931,0,98178,2015,02
2050000.0,5,3.0,3830,8480,2.0,0,1,5,1905,1,98122,2015,05
780000.0,4,2.5,3500,7048,2.0,0,0,3,2005,0,98053,2014,06
330000.0,3,3.0,2420,13959,1.0,0,0,4,1988,0,98028,2015,04
370000.0,4,2.5,2720,8666,2.0,0,0,3,1992,0,98030,2014,09
467000.0,5,2.25,2500,13500,1.0,0,0,3,1979,0,98072,2014,10
405000.0,3,1.75,1670,6720,1.0,0,0,3,1980,0,98034,2015,02
675000.0,5,2.25,2900,10300,1.0,0,0,3,1985,0,98006,2014,07
500000.0,2,1.0,1640,14100,1.0,0,0,4,1954,0,98006,2014,08
389999.0,4,2.5,1890,15770,2.0,0,0,4,1968,0,98166,2014,07
630000.0,4,1.75,2950,9025,1.0,0,2,4,1975,0,98034,2015,02
360000.0,4,2.5,2160,9528,2.0,0,0,3,1992,0,98001,2014,10
580000.0,4,3.0,3280,11060,2.0,0,0,3,1986,0,98056,2014,10
550000.0,3,2.0,1970,4166,2.0,0,3,5,1929,0,98126,2014,07
879000.0,4,2.5,3360,22111,2.0,0,0,3,1994,0,98075,2014,07
265000.0,3,2.0,1320,8959,1.0,0,0,3,1993,0,98042,2014,08
446500.0,3,2.5,2650,7286,2.0,0,0,3,1990,0,98059,2015,03
404000.0,3,1.5,2030,8880,1.0,0,0,3,1963,0,98108,2014,06
267500.0,3,1.75,1590,11914,1.0,0,2,3,1957,0,98188,2014,05
3075000.0,4,5.0,4550,18641,1.0,1,4,3,2002,0,98074,2014,06
335000.0,3,2.5,2440,7632,2.0,0,0,3,1998,0,98003,2014,08
576000.0,3,2.5,1940,9000,1.0,0,0,4,1948,0,98117,2014,06
208633.0,3,2.5,2040,3810,2.0,0,0,3,2006,0,98038,2015,04
315000.0,3,2.25,2200,8750,1.0,0,0,4,1964,0,98166,2015,01
725000.0,3,1.75,1920,3300,1.0,0,0,4,1913,0,98112,2015,02
550000.0,4,2.75,1800,7750,1.0,0,0,4,1965,0,98177,2015,04
610750.0,4,2.25,2180,7297,2.0,0,0,3,1984,0,98074,2014,06
550700.0,2,1.0,1010,5000,1.5,0,0,4,1908,0,98105,2015,02
665000.0,4,2.75,3320,10574,2.0,0,0,5,1960,0,98056,2015,01
834000.0,4,2.5,2370,4000,1.5,0,2,5,1928,0,98144,2015,02
201000.0,5,1.75,1660,78408,1.5,0,0,3,1915,0,98065,2014,10
2384000.0,5,2.5,3650,9050,2.0,0,4,5,1921,0,98119,2014,05
1384000.0,4,3.25,4290,12103,1.0,0,3,3,1997,0,98006,2014,06
1400000.0,4,3.25,4290,12103,1.0,0,3,3,1997,0,98006,2014,12
305000.0,4,2.25,1950,7700,1.0,0,0,3,1979,0,98058,2014,11
487000.0,3,2.0,2590,14052,1.0,0,0,5,1948,0,98133,2015,04
390000.0,3,2.5,1930,64904,1.0,0,0,4,1988,0,98042,2015,05
548000.0,2,1.0,1470,3864,1.0,0,0,4,1916,0,98103,2014,07
268750.0,4,1.0,800,8775,1.0,0,0,3,1943,0,98166,2014,11
819900.0,5,2.75,3150,7119,2.0,0,0,3,2013,0,98052,2014,05
520000.0,3,2.25,2030,16200,2.0,0,0,3,1984,0,98027,2014,10
230000.0,3,2.0,1450,11204,1.0,0,0,3,2003,0,98001,2014,07
240000.0,3,1.75,1510,10248,1.0,0,0,3,1969,0,98023,2015,02
232000.0,2,1.0,1240,12092,1.0,0,0,3,1922,1,98146,2014,09
240500.0,2,1.0,1240,12092,1.0,0,0,3,1922,1,98146,2015,03
274975.0,3,2.5,3030,45004,2.0,0,0,3,1987,0,98077,2014,10
740000.0,4,2.0,2050,4400,1.5,0,0,4,1922,0,98102,2014,09
186375.0,3,1.0,1000,7636,1.0,0,0,2,1952,0,98166,2015,04
790000.0,3,2.25,2370,10289,1.0,0,0,4,1977,0,98005,2014,07
880000.0,4,3.5,2800,6750,2.0,0,0,3,1951,1,98105,2014,09
279000.0,6,1.75,2240,11180,2.0,0,0,4,1955,0,98198,2015,04
295000.0,3,2.0,1810,10530,1.0,0,2,3,1991,0,98022,2014,07
640000.0,2,1.0,1070,5000,1.0,0,0,3,1924,0,98103,2015,04
940000.0,4,2.0,2490,9525,2.0,0,0,5,1968,0,98040,2014,07
260000.0,4,2.5,1960,5238,2.0,0,0,3,2003,0,98038,2014,10
559900.0,3,2.75,2930,5569,1.0,0,0,3,2004,0,98072,2014,06
791500.0,4,2.0,1510,3500,1.5,0,0,5,1911,0,98103,2014,07
265000.0,3,1.75,1420,8250,1.0,0,0,3,1954,0,98133,2014,08
245000.0,3,1.75,1740,11547,1.0,0,0,3,1954,0,98178,2015,05
485000.0,4,1.75,2560,43995,2.0,0,0,4,1962,0,98052,2015,04
684000.0,4,3.5,3040,8414,2.0,0,0,3,2010,0,98059,2014,11
425000.0,3,1.75,2500,6840,1.0,0,0,3,1957,0,98125,2014,09
309600.0,4,1.75,1275,20000,1.0,0,0,4,1991,0,98070,2014,10
552250.0,4,2.5,2580,5823,2.0,0,0,3,2002,0,98065,2014,07
165000.0,4,1.0,1000,7134,1.0,0,0,3,1943,0,98178,2014,07
